town,2014,2015,2016,obl,dis,koatuu,np,oblcode,type,oldname
смт Знам’янка Друга,5101.0,5060.0,5053.0,Кіровоградська область,Знам’янка,3510645300,Т,35,smt,
м. Олександрія,82636.0,82410.0,82187.0,Кіровоградська область,Олександрія,3510300000,М,35,town,
смт Олександрійське,4877.0,4842.0,4865.0,Кіровоградська область,Олександрія,3510345300,Т,35,smt,ДИМИТРОВЕ
смт Пантаївка,2732.0,2692.0,2683.0,Кіровоградська область,Олександрія,3510345600,Т,35,smt,
м. Світловодськ,46372.0,46178.0,45673.0,Кіровоградська область,Світловодськ,3510900000,М,35,town,
смт Власівка,7705.0,7714.0,7697.0,Кіровоградська область,Світловодськ,3510945300,Т,35,smt,
м. Бобринець,11005.0,11024.0,10992.0,Кіровоградська область,Бобринецький район,3520810100,М,35,town,
смт Вільшанка,4729.0,4695.0,4693.0,Кіровоградська область,Вільшанський район,3524355100,Т,35,smt,
м. Гайворон,15087.0,15030.0,14960.0,Кіровоградська область,Гайворонський район,3521110100,М,35,town,
смт Завалля,4882.0,4865.0,4834.0,Кіровоградська область,Гайворонський район,3521155300,Т,35,smt,
смт Салькове,1751.0,1742.0,1713.0,Кіровоградська область,Гайворонський район,3521155600,Т,35,smt,
смт Голованівськ,6093.0,6016.0,5982.0,Кіровоградська область,Голованівський район,3521455100,Т,35,smt,
смт Побузьке,6059.0,6031.0,5997.0,Кіровоградська область,Голованівський район,3521455500,Т,35,smt,
м. Помічна,9201.0,9143.0,9031.0,Кіровоградська область,Добровеличківський район,3521710300,М,35,town,
смт Добровеличківка,5699.0,5673.0,5672.0,Кіровоградська область,Добровеличківський район,3521755100,Т,35,smt,
м. Долинська,19457.0,19472.0,19455.0,Кіровоградська область,Долинський район,3521910100,М,35,town,
смт Молодіжне,1280.0,1269.0,1255.0,Кіровоградська область,Долинський район,3521955400,Т,35,smt,
смт Компаніївка,4535.0,4568.0,4543.0,Кіровоградська область,Компаніївський район,3522855100,Т,35,smt,
м. Мала Виска,11014.0,10967.0,10874.0,Кіровоградська область,Маловисківський район,3523110100,М,35,town,
смт Смоліне,9841.0,9804.0,9769.0,Кіровоградська область,Маловисківський район,3523155700,Т,35,smt,
смт Новгородка,5825.0,5804.0,5760.0,Кіровоградська область,Новгородківський район,3523455100,Т,35,smt,
смт Новоархангельськ,6382.0,6316.0,6272.0,Кіровоградська область,Новоархангельський район,3523655100,Т,35,smt,
м. Новомиргород,11495.0,11419.0,11328.0,Кіровоградська область,Новомиргородський район,3523810100,М,35,town,
смт Капітанівка,2604.0,2566.0,2542.0,Кіровоградська область,Новомиргородський район,3523855400,Т,35,smt,
м. Новоукраїнка,17554.0,17402.0,17151.0,Кіровоградська область,Новоукраїнський район,3524010100,М,35,town,
смт Олександрівка,8868.0,8815.0,8806.0,Кіровоградська область,Олександрівський район,3520555100,Т,35,smt,
смт Єлизаветградка,1275.0,1262.0,1252.0,Кіровоградська область,Олександрівський район,3520555400,Т,35,smt,
смт Лісове,1145.0,1181.0,1188.0,Кіровоградська область,Олександрівський район,3520555500,Т,35,smt,
смт Нова Прага,7051.0,6947.0,6845.0,Кіровоградська область,Олександрійський район,3520355400,Т,35,smt,
смт Приютівка,3328.0,3322.0,3277.0,Кіровоградська область,Олександрійський район,3520355800,Т,35,smt,
смт Онуфріївка,4009.0,4019.0,4013.0,Кіровоградська область,Онуфріївський район,3524655100,Т,35,smt,
смт Павлиш,4676.0,4672.0,4684.0,Кіровоградська область,Онуфріївський район,3524655400,Т,35,smt,
смт Петрове,7461.0,7388.0,7362.0,Кіровоградська область,Петрівський район,3524955100,Т,35,smt,
смт Балахівка,830.0,816.0,819.0,Кіровоградська область,Петрівський район,3524955300,Т,35,smt,
м. Благовіщенське,6092.0,6081.0,6070.0,Кіровоградська область,Благовіщенський район,3525510100,М,35,town,УЛЬЯНОВКА
смт Устинівка,3484.0,3477.0,3470.0,Кіровоградська область,Устинівський район,3525855100,Т,35,smt,
м. Луганськ,424113.0,417990.0,414509.0,Луганська область,Луганськ,4410100000,В,44,city,
м. Олександрівськ,6596.0,6550.0,6544.0,Луганська область,Луганськ,4410160300,М,44,town,
смт Катеринівка,16948.0,16722.0,16665.0,Луганська область,Луганськ,4410165900,Т,44,smt,ЮВІЛЕЙНЕ
м. Алчевськ,110474.0,109772.0,109377.0,Луганська область,Алчевськ,4411200000,М,44,town,
м. Антрацит,54242.0,53887.0,53713.0,Луганська область,Антрацит,4410300000,М,44,town,
смт Боково-Платове,2650.0,2626.0,2624.0,Луганська область,Антрацит,4410345300,Т,44,smt,
смт Верхній Нагольчик,1732.0,1728.0,1727.0,Луганська область,Антрацит,4410345600,Т,44,smt,
смт Дубівський,3957.0,3923.0,3915.0,Луганська область,Антрацит,4410345900,Т,44,smt,
смт Кам’яне,2705.0,2699.0,2696.0,Луганська область,Антрацит,4410346200,Т,44,smt,
смт Кріпенський,6836.0,6812.0,6805.0,Луганська область,Антрацит,4410346500,Т,44,smt,
смт Щотове,3641.0,3599.0,3589.0,Луганська область,Антрацит,4410346900,Т,44,smt,
м. Брянка,46830.0,46352.0,46127.0,Луганська область,Брянка,4410500000,М,44,town,
смт Вергулівка,1295.0,1295.0,1289.0,Луганська область,Брянка,4410545300,Т,44,smt,
